time_key,full_time,hour,minute,second,period,shift
637,00:06:37.0000000,0,6,37,AM,Night
638,00:06:38.0000000,0,6,38,AM,Night
639,00:06:39.0000000,0,6,39,AM,Night
640,00:06:40.0000000,0,6,40,AM,Night
641,00:06:41.0000000,0,6,41,AM,Night
642,00:06:42.0000000,0,6,42,AM,Night
643,00:06:43.0000000,0,6,43,AM,Night
644,00:06:44.0000000,0,6,44,AM,Night
645,00:06:45.0000000,0,6,45,AM,Night
646,00:06:46.0000000,0,6,46,AM,Night
647,00:06:47.0000000,0,6,47,AM,Night
648,00:06:48.0000000,0,6,48,AM,Night
649,00:06:49.0000000,0,6,49,AM,Night
650,00:06:50.0000000,0,6,50,AM,Night
651,00:06:51.0000000,0,6,51,AM,Night
652,00:06:52.0000000,0,6,52,AM,Night
653,00:06:53.0000000,0,6,53,AM,Night
654,00:06:54.0000000,0,6,54,AM,Night
655,00:06:55.0000000,0,6,55,AM,Night
656,00:06:56.0000000,0,6,56,AM,Night
657,00:06:57.0000000,0,6,57,AM,Night
658,00:06:58.0000000,0,6,58,AM,Night
659,00:06:59.0000000,0,6,59,AM,Night
700,00:07:00.0000000,0,7,0,AM,Night
701,00:07:01.0000000,0,7,1,AM,Night
702,00:07:02.0000000,0,7,2,AM,Night
703,00:07:03.0000000,0,7,3,AM,Night
704,00:07:04.0000000,0,7,4,AM,Night
705,00:07:05.0000000,0,7,5,AM,Night
706,00:07:06.0000000,0,7,6,AM,Night
707,00:07:07.0000000,0,7,7,AM,Night
708,00:07:08.0000000,0,7,8,AM,Night
709,00:07:09.0000000,0,7,9,AM,Night
710,00:07:10.0000000,0,7,10,AM,Night
711,00:07:11.0000000,0,7,11,AM,Night
712,00:07:12.0000000,0,7,12,AM,Night
713,00:07:13.0000000,0,7,13,AM,Night
714,00:07:14.0000000,0,7,14,AM,Night
715,00:07:15.0000000,0,7,15,AM,Night
716,00:07:16.0000000,0,7,16,AM,Night
717,00:07:17.0000000,0,7,17,AM,Night
718,00:07:18.0000000,0,7,18,AM,Night
719,00:07:19.0000000,0,7,19,AM,Night
720,00:07:20.0000000,0,7,20,AM,Night
721,00:07:21.0000000,0,7,21,AM,Night
722,00:07:22.0000000,0,7,22,AM,Night
723,00:07:23.0000000,0,7,23,AM,Night
724,00:07:24.0000000,0,7,24,AM,Night
725,00:07:25.0000000,0,7,25,AM,Night
726,00:07:26.0000000,0,7,26,AM,Night
727,00:07:27.0000000,0,7,27,AM,Night
728,00:07:28.0000000,0,7,28,AM,Night
729,00:07:29.0000000,0,7,29,AM,Night
730,00:07:30.0000000,0,7,30,AM,Night
731,00:07:31.0000000,0,7,31,AM,Night
732,00:07:32.0000000,0,7,32,AM,Night
733,00:07:33.0000000,0,7,33,AM,Night
734,00:07:34.0000000,0,7,34,AM,Night
735,00:07:35.0000000,0,7,35,AM,Night
736,00:07:36.0000000,0,7,36,AM,Night
737,00:07:37.0000000,0,7,37,AM,Night
738,00:07:38.0000000,0,7,38,AM,Night
739,00:07:39.0000000,0,7,39,AM,Night
740,00:07:40.0000000,0,7,40,AM,Night
741,00:07:41.0000000,0,7,41,AM,Night
742,00:07:42.0000000,0,7,42,AM,Night
743,00:07:43.0000000,0,7,43,AM,Night
744,00:07:44.0000000,0,7,44,AM,Night
745,00:07:45.0000000,0,7,45,AM,Night
746,00:07:46.0000000,0,7,46,AM,Night
747,00:07:47.0000000,0,7,47,AM,Night
748,00:07:48.0000000,0,7,48,AM,Night
749,00:07:49.0000000,0,7,49,AM,Night
750,00:07:50.0000000,0,7,50,AM,Night
751,00:07:51.0000000,0,7,51,AM,Night
752,00:07:52.0000000,0,7,52,AM,Night
753,00:07:53.0000000,0,7,53,AM,Night
754,00:07:54.0000000,0,7,54,AM,Night
755,00:07:55.0000000,0,7,55,AM,Night
756,00:07:56.0000000,0,7,56,AM,Night
757,00:07:57.0000000,0,7,57,AM,Night
758,00:07:58.0000000,0,7,58,AM,Night
759,00:07:59.0000000,0,7,59,AM,Night
800,00:08:00.0000000,0,8,0,AM,Night
801,00:08:01.0000000,0,8,1,AM,Night
802,00:08:02.0000000,0,8,2,AM,Night
803,00:08:03.0000000,0,8,3,AM,Night
804,00:08:04.0000000,0,8,4,AM,Night
805,00:08:05.0000000,0,8,5,AM,Night
806,00:08:06.0000000,0,8,6,AM,Night
807,00:08:07.0000000,0,8,7,AM,Night
808,00:08:08.0000000,0,8,8,AM,Night
809,00:08:09.0000000,0,8,9,AM,Night
810,00:08:10.0000000,0,8,10,AM,Night
811,00:08:11.0000000,0,8,11,AM,Night
812,00:08:12.0000000,0,8,12,AM,Night
813,00:08:13.0000000,0,8,13,AM,Night
814,00:08:14.0000000,0,8,14,AM,Night
815,00:08:15.0000000,0,8,15,AM,Night
816,00:08:16.0000000,0,8,16,AM,Night
817,00:08:17.0000000,0,8,17,AM,Night
818,00:08:18.0000000,0,8,18,AM,Night
819,00:08:19.0000000,0,8,19,AM,Night
820,00:08:20.0000000,0,8,20,AM,Night
821,00:08:21.0000000,0,8,21,AM,Night
822,00:08:22.0000000,0,8,22,AM,Night
823,00:08:23.0000000,0,8,23,AM,Night
824,00:08:24.0000000,0,8,24,AM,Night
825,00:08:25.0000000,0,8,25,AM,Night
826,00:08:26.0000000,0,8,26,AM,Night
827,00:08:27.0000000,0,8,27,AM,Night
828,00:08:28.0000000,0,8,28,AM,Night
829,00:08:29.0000000,0,8,29,AM,Night
830,00:08:30.0000000,0,8,30,AM,Night
831,00:08:31.0000000,0,8,31,AM,Night
832,00:08:32.0000000,0,8,32,AM,Night
833,00:08:33.0000000,0,8,33,AM,Night
834,00:08:34.0000000,0,8,34,AM,Night
835,00:08:35.0000000,0,8,35,AM,Night
836,00:08:36.0000000,0,8,36,AM,Night
837,00:08:37.0000000,0,8,37,AM,Night
838,00:08:38.0000000,0,8,38,AM,Night
839,00:08:39.0000000,0,8,39,AM,Night
840,00:08:40.0000000,0,8,40,AM,Night
841,00:08:41.0000000,0,8,41,AM,Night
842,00:08:42.0000000,0,8,42,AM,Night
843,00:08:43.0000000,0,8,43,AM,Night
844,00:08:44.0000000,0,8,44,AM,Night
845,00:08:45.0000000,0,8,45,AM,Night
846,00:08:46.0000000,0,8,46,AM,Night
847,00:08:47.0000000,0,8,47,AM,Night
848,00:08:48.0000000,0,8,48,AM,Night
849,00:08:49.0000000,0,8,49,AM,Night
850,00:08:50.0000000,0,8,50,AM,Night
851,00:08:51.0000000,0,8,51,AM,Night
852,00:08:52.0000000,0,8,52,AM,Night
853,00:08:53.0000000,0,8,53,AM,Night
854,00:08:54.0000000,0,8,54,AM,Night
855,00:08:55.0000000,0,8,55,AM,Night
856,00:08:56.0000000,0,8,56,AM,Night
857,00:08:57.0000000,0,8,57,AM,Night
858,00:08:58.0000000,0,8,58,AM,Night
859,00:08:59.0000000,0,8,59,AM,Night
900,00:09:00.0000000,0,9,0,AM,Night
901,00:09:01.0000000,0,9,1,AM,Night
902,00:09:02.0000000,0,9,2,AM,Night
903,00:09:03.0000000,0,9,3,AM,Night
904,00:09:04.0000000,0,9,4,AM,Night
905,00:09:05.0000000,0,9,5,AM,Night
906,00:09:06.0000000,0,9,6,AM,Night
907,00:09:07.0000000,0,9,7,AM,Night
908,00:09:08.0000000,0,9,8,AM,Night
909,00:09:09.0000000,0,9,9,AM,Night
910,00:09:10.0000000,0,9,10,AM,Night
911,00:09:11.0000000,0,9,11,AM,Night
912,00:09:12.0000000,0,9,12,AM,Night
913,00:09:13.0000000,0,9,13,AM,Night
914,00:09:14.0000000,0,9,14,AM,Night
915,00:09:15.0000000,0,9,15,AM,Night
916,00:09:16.0000000,0,9,16,AM,Night
917,00:09:17.0000000,0,9,17,AM,Night
918,00:09:18.0000000,0,9,18,AM,Night
919,00:09:19.0000000,0,9,19,AM,Night
920,00:09:20.0000000,0,9,20,AM,Night
921,00:09:21.0000000,0,9,21,AM,Night
922,00:09:22.0000000,0,9,22,AM,Night
923,00:09:23.0000000,0,9,23,AM,Night
924,00:09:24.0000000,0,9,24,AM,Night
925,00:09:25.0000000,0,9,25,AM,Night
926,00:09:26.0000000,0,9,26,AM,Night
927,00:09:27.0000000,0,9,27,AM,Night
928,00:09:28.0000000,0,9,28,AM,Night
929,00:09:29.0000000,0,9,29,AM,Night
930,00:09:30.0000000,0,9,30,AM,Night
931,00:09:31.0000000,0,9,31,AM,Night
932,00:09:32.0000000,0,9,32,AM,Night
933,00:09:33.0000000,0,9,33,AM,Night
934,00:09:34.0000000,0,9,34,AM,Night
935,00:09:35.0000000,0,9,35,AM,Night
936,00:09:36.0000000,0,9,36,AM,Night
937,00:09:37.0000000,0,9,37,AM,Night
